ds,yhat,yhat_lower,yhat_upper,Store
2010-02-05,1575623.098711482,1441276.1260408503,1724902.1941134692,1
2010-02-12,1630307.630633696,1494956.9319232213,1763815.130139981,1
2010-02-19,1588215.0528502043,1462524.292776325,1732286.4785062398,1
2010-02-26,1522570.4930203655,1381833.694543969,1665005.3229656203,1
2010-03-05,1488488.964558052,1352272.9770891964,1627702.65047314,1
2010-03-12,1489301.4654675657,1349928.5425571764,1619751.3195941406,1
2010-03-19,1502662.0941231253,1358536.4669906236,1624692.260894408,1
2010-03-26,1514853.0148415086,1377637.43746361,1652369.48115785,1
2010-04-02,1523885.047540028,1392477.7595462226,1665374.424353449,1
2010-04-09,1524494.6146768595,1396222.5737677529,1665547.8797206797,1
2010-04-16,1508105.0535890872,1373258.8475528099,1645304.482386786,1
2010-04-23,1478936.9891423287,1348055.0095594835,1617343.344844376,1
2010-04-30,1457891.482492436,1320805.0407675602,1601157.391630991,1
2010-05-07,1461887.003250034,1330902.290463362,1599757.0992994378,1
2010-05-14,1483469.9497315916,1343608.1629934115,1614223.041680788,1
2010-05-21,1499095.1039645388,1364844.4955963113,1640068.7854705493,1
2010-05-28,1497295.1921704586,1351062.1025423384,1626568.3384730776,1
2010-06-04,1490465.0918536377,1344814.2232281286,1622164.2872704747,1
2010-06-11,1494803.6028596163,1346559.662725584,1627492.1113456658,1
2010-06-18,1505350.1299409226,1375780.5750530907,1643850.5014169242,1
2010-06-25,1500166.8667139271,1368118.1019056775,1645416.4420984103,1
2010-07-02,1469212.605056463,1327556.759518993,1611215.281358113,1
2010-07-09,1430225.599986997,1291888.9217938762,1570099.2534788977,1
2010-07-16,1410446.7855991486,1274053.5845229204,1549165.1043619937,1
2010-07-23,1417543.273750414,1285728.06973901,1562302.908260127,1
2010-07-30,1436325.4921132969,1300588.7118020833,1578474.5844321996,1
2010-08-06,1452393.4909482438,1321016.9018240606,1589179.976533382,1
2010-08-13,1468049.8836794249,1341381.4187476502,1609966.1250889192,1
2010-08-20,1488753.829760955,1344622.9435823674,1618951.4105505485,1
2010-08-27,1502434.8160877994,1362529.7704807215,1650169.0620522636,1
2010-09-03,1487082.0097195066,1358824.9752844642,1620930.9857056013,1
2010-09-10,1442567.7722784232,1305356.156015087,1574238.3237385282,1
2010-09-17,1402910.6551298941,1270979.3387070552,1541147.401578649,1
2010-09-24,1403716.9958154156,1273335.5319675603,1530368.8334853514,1
2010-10-01,1438942.8745880038,1289221.3427371583,1570548.353688576,1
2010-10-08,1463538.9798750794,1318965.7507930214,1593439.4382238481,1
2010-10-15,1446679.6547675205,1303031.164770576,1595627.3246027518,1
2010-10-22,1413776.7326424425,1279682.4831034313,1543128.429678458,1
2010-10-29,1421700.502741879,1281556.4444746182,1546934.7345567984,1
2010-11-05,1491592.2034016454,1365060.0822664308,1635808.1511769015,1
2010-11-12,1581018.2320108386,1442022.0662230947,1709968.5810257553,1
2010-11-19,1634689.7428195856,1497082.1401523873,1776330.3066588468,1
2010-11-26,1655069.2053493802,1518181.1866693324,1794444.7610126985,1
2010-12-03,1701505.7011729055,1551344.4451648907,1831300.5702755123,1
2010-12-10,1808094.4869993655,1680010.7253036236,1945703.9983789148,1
2010-12-17,1914815.3759491064,1778381.7219367602,2053681.5246567118,1
2010-12-24,1904810.2912184258,1769132.7187858566,2037818.546198865,1
2010-12-31,1723909.0976881976,1579379.992154353,1863470.3118108,1
2011-01-07,1457191.980449445,1308999.7394206428,1590225.3531032042,1
2011-01-14,1272347.7549290506,1139660.0979816457,1410986.5063593362,1
2011-01-21,1278213.4707979606,1142918.8311289772,1409219.3788100567,1
2011-01-28,1436827.5682791474,1306513.0000763936,1581853.3645987657,1
2011-02-04,1610369.012603267,1479988.2856731238,1750716.4102002962,1
2011-02-11,1686475.4574566507,1551985.1063916928,1816843.844412877,1
2011-02-18,1657015.454368502,1519028.7847214874,1799557.6495742276,1
2011-02-25,1590190.252921446,1447445.8706840656,1722357.8548557723,1
2011-03-04,1548872.9717752517,1418449.6305933087,1683596.3742146706,1
2011-03-11,1544963.4190026603,1407439.1492221165,1684355.9958363855,1
2011-03-18,1557589.689048697,1418932.5248148614,1687126.5008649724,1
2011-03-25,1570276.3801110864,1440397.4199506086,1712601.4640600458,1
2011-04-01,1580018.2712723236,1451821.7636245554,1721213.4026144308,1
2011-04-08,1582847.4403522233,1441526.9703835289,1725891.9118255528,1
2011-04-15,1569754.2650282113,1438824.802540559,1701416.0461516124,1
2011-04-22,1541656.6246575864,1399718.0200183585,1674709.197175857,1
2011-04-29,1517432.0978661745,1378005.7002046693,1657986.1772944496,1
2011-05-06,1516711.398624891,1381760.6661957887,1646681.096800972,1
2011-05-13,1536762.0895420688,1392340.2245525667,1666711.5084031546,1
2011-05-20,1554984.1023801174,1428610.5469468045,1692542.2244159356,1
2011-05-27,1555965.3949800318,1426246.2228165753,1698080.5694674554,1
2011-06-03,1548538.7273986049,1419303.0300408762,1680134.4459038943,1
2011-06-10,1550474.6808849003,1413039.6660479698,1689207.844786097,1
2011-06-17,1561354.9321953391,1419706.9371174206,1690944.7973047982,1
2011-06-24,1560451.3479121304,1425685.0814659197,1700934.9387961107,1
2011-07-01,1533542.569549501,1397081.7504926957,1665109.2058543295,1
2011-07-08,1493829.9623784667,1361000.3836656166,1628936.296657412,1
2011-07-15,1469238.6703789823,1335447.8054968424,1608782.3918965429,1
2011-07-22,1472218.8927771833,1330107.2968453884,1609257.8874350009,1
2011-07-29,1490353.784732253,1341741.770437449,1624685.2318607697,1
2011-08-05,1507202.1515631757,1369613.264246719,1647886.1575037586,1
2011-08-12,1522277.1058444576,1381157.9362961212,1656933.243378377,1
2011-08-19,1542338.7706895466,1405066.3674170277,1681530.184451702,1
2011-08-26,1558974.769358683,1418231.888536961,1690342.4849529502,1
2011-09-02,1549851.0099168879,1408170.0153992507,1695106.2876120068,1
2011-09-09,1508844.0940481813,1366739.0972210304,1638043.595741152,1
2011-09-16,1465076.9802345505,1326691.4036406018,1599681.7042685566,1
2011-09-23,1457561.2142179557,1322507.7478257038,1593762.195804298,1
2011-09-30,1489339.3218491331,1342565.3892537216,1625015.7774866621,1
2011-10-07,1519336.2003425,1388395.6438135556,1658652.5444870787,1
2011-10-14,1509744.9608072164,1372165.283053393,1658922.473639436,1
2011-10-21,1475603.2442835788,1337630.8044785238,1613505.0998569624,1
2011-10-28,1472846.6313154702,1340399.9727141715,1603570.2616889973,1
2011-11-04,1533212.7995278605,1393507.8444627062,1667733.1838880598,1
2011-11-11,1623926.2276361596,1486609.8482152366,1766259.6739024187,1
2011-11-18,1686042.9039386488,1544737.585167728,1828772.1228560614,1
2011-11-25,1708879.0448858803,1570595.2545324264,1838953.0002398386,1
2011-12-02,1746115.1640965026,1607965.5287231742,1881316.020146877,1
2011-12-09,1843419.2694118682,1713392.232208546,1975596.3058203778,1
2011-12-16,1958422.2729682962,1826156.1229124302,2087527.8358333227,1
2011-12-23,1976669.1395260948,1847894.3855978362,2111741.9361807313,1
2011-12-30,1824132.6833555116,1691525.0039677026,1953357.4961269614,1
2012-01-06,1561109.1540007954,1422646.9574231147,1696446.4964520864,1
2012-01-13,1350132.0861411272,1218649.1908601907,1480609.8462698658,1
2012-01-20,1320326.5350758645,1173279.0388610582,1466608.7810624694,1
2012-01-27,1460425.281082886,1334831.684634181,1603462.1471943501,1
2012-02-03,1641882.7938867623,1495972.5388222015,1784415.8226417047,1
2012-02-10,1739209.694165302,1599870.5686119332,1870808.4123067195,1
2012-02-17,1724767.039183443,1582642.0908187362,1856819.0757139577,1
2012-02-24,1658856.0259420383,1514413.7954434657,1796784.622792022,1
2012-03-02,1610577.8469398627,1475149.0201355533,1745779.8634843342,1
2012-03-09,1601127.993140632,1462394.1449707923,1740080.7097716236,1
2012-03-16,1612474.5888754562,1476149.1316754736,1748129.6866318716,1
2012-03-23,1625613.8379468534,1495652.1583071456,1760684.5534671263,1
2012-03-30,1635953.0951696723,1497149.7655354317,1775136.9148396133,1
2012-04-06,1640664.05542172,1496188.2542301621,1776583.6982422832,1
2012-04-13,1630867.455455184,1490239.9545585385,1771262.226232387,1
2012-04-20,1604494.913627014,1465620.656455972,1740492.890524416,1
2012-04-27,1577790.8109102582,1443103.689563956,1719387.476342166,1
2012-05-04,1572260.0709802243,1434781.518756707,1709374.1739964937,1
2012-05-11,1589973.1835473094,1458007.156125668,1720892.1465371966,1
2012-05-18,1610246.8824646852,1480177.3357886977,1743921.6481628711,1
2012-05-25,1614339.3088870158,1471915.2193127363,1743592.928787495,1
2012-06-01,1606968.5926080483,1468623.2777930337,1737578.26308825,1
2012-06-08,1606495.8767626567,1475294.0689936785,1733226.1407022944,1
2012-06-15,1616964.7445793003,1480992.3137763557,1752336.7929192297,1
2012-06-22,1619821.4732170494,1479232.240683507,1755355.2370645655,1
2012-06-29,1597418.8462788262,1458866.6515936214,1738572.6824133955,1
2012-07-06,1557965.5114109737,1415789.151867293,1695828.5820852215,1
2012-07-13,1528986.970112957,1383739.4275191007,1668199.9254854282,1
2012-07-20,1527387.6172892605,1392967.1508448592,1665651.2154829262,1
2012-07-27,1544287.1611233007,1398821.4271119393,1674267.722439356,1
2012-08-03,1561929.3003028403,1423906.9665975086,1705083.2945398577,1
2012-08-10,1576712.7394073936,1436002.4299490135,1711048.2239664383,1
2012-08-17,1595863.4582976296,1463397.172509763,1743176.7613035445,1
2012-08-24,1614647.4919161075,1484067.5798936738,1756565.980667412,1
2012-08-31,1611493.5197377042,1475915.986537871,1747883.5381436038,1
