ds,yhat,yhat_lower,yhat_upper,Store
2010-02-05,527752.766850913,505674.4345596823,550109.7607497274,37
2010-02-12,523696.65715394134,500542.254461814,543536.8964489657,37
2010-02-19,521815.39483598515,499480.096388156,542135.4327049992,37
2010-02-26,517076.145957944,497136.70901228057,538275.6562914313,37
2010-03-05,505771.369757381,485601.27123463276,529761.4145948366,37
2010-03-12,494031.70994679135,471311.7913321522,514584.3688335628,37
2010-03-19,493306.42375981563,470521.3263872918,515140.2287370044,37
2010-03-26,506919.7324878505,485544.5219114629,528851.8782012401,37
2010-04-02,524281.1030722496,502681.03608022816,546238.621162983,37
2010-04-09,531033.534261599,508489.5434262352,551656.3123507259,37
2010-04-16,524086.5200348091,502810.7984920694,545072.1042641713,37
2010-04-23,514087.08417336125,492378.62262815126,536577.9117747521,37
2010-04-30,512624.8979646495,491074.87445763464,534948.5980497322,37
2010-05-07,519402.5556767303,498008.12663851155,540881.2105977834,37
2010-05-14,523985.8909899419,502662.87727588485,546390.9118218613,37
2010-05-21,518878.9103187111,498664.1340843423,539804.0892581106,37
2010-05-28,507734.47909762885,486011.6290821633,529443.1556629069,37
2010-06-04,499730.49642029696,477538.38468360587,521405.23269034666,37
2010-06-11,498434.30713595235,477741.4404275935,520927.6065804821,37
2010-06-18,499123.40408576245,476065.77918459143,520360.70271780924,37
2010-06-25,496589.1258865401,475942.9369192911,517578.50293938594,37
2010-07-02,492188.70201945066,471357.9654135504,515112.40530142194,37
2010-07-09,491096.9857115138,469208.80020501243,513632.91960494866,37
2010-07-16,494388.8218369297,472187.56259037746,516382.8565091431,37
2010-07-23,497253.4577417333,476043.98733242764,518223.03555283695,37
2010-07-30,495833.11050510197,473020.40779249,517739.0751954387,37
2010-08-06,493136.51506067644,471930.17090867116,515012.650160524,37
2010-08-13,495504.83781077835,473948.4329528616,515374.2410562645,37
2010-08-20,503884.03035756305,482528.9543017273,524481.9987684535,37
2010-08-27,511571.7710942882,488942.5978702767,532615.4916554994,37
2010-09-03,511993.380192177,492026.4663186228,534295.0310105393,37
2010-09-10,506836.6946539345,484612.50914263993,529855.1047880469,37
2010-09-17,504016.0223264627,482503.89316659264,525844.2106417287,37
2010-09-24,507914.15905283275,485295.2144304469,528861.4354071313,37
2010-10-01,514378.11574300594,493846.3331194811,537587.776371012,37
2010-10-08,516782.2026269506,496130.4822294489,536899.1441739107,37
2010-10-15,514973.94843402144,492869.7474049465,536170.2027475506,37
2010-10-22,515093.3837683963,494585.88674463466,537006.815511173,37
2010-10-29,520406.43733364326,500096.93655513384,542099.3993189847,37
2010-11-05,525640.7099095342,502945.6226969844,547987.0714517526,37
2010-11-12,523268.49288798025,499931.5263711919,544434.234720835,37
2010-11-19,514332.8682080197,494183.8563828268,535625.1152663045,37
2010-11-26,509330.18079675426,488429.7656166348,530588.127110031,37
2010-12-03,516442.7022564656,495094.88608092576,537922.0162637442,37
2010-12-10,530861.8963090251,508414.79705229035,552432.4374199007,37
2010-12-17,538904.5276899731,517404.2229277783,560276.6947801203,37
2010-12-24,533096.9667952277,510300.47506511334,554664.9349181051,37
2010-12-31,520695.31903524033,501266.05451372144,543075.7965235923,37
2011-01-07,515504.51301607746,493702.92474602995,537314.054546627,37
